
CategoryID,CategoryName
1,Home
2,Garden
3,Health
4,Kitchen
5,Food - Frozen Foods
6,Home
7,Clothing - Bottoms
8,Furniture
9,Food - Dairy
10,Food - Baking
11,Food - Cooking Oils
12,Clothing - Dresses
13,Food - Condiments
14,Home
15,Food - Frozen Foods
16,Home
17,Food - Beverages
18,Food - Frozen Foods
19,Food - Bakery
20,Food - Bakery
21,Food - Frozen
22,Food - Snacks
23,Food - Protein
24,Food - Canned Goods
25,Music
26,Food - Frozen Foods
27,Food - Condiments
28,Food - Snacks
29,Kitchen
30,Food - Snacks
31,Electronics
32,Food - Prepared Foods
33,Travel
34,Outdoor
35,Health
36,Garden
37,Kitchen
38,Food - Bakery
39,Food - Snacks
40,Health
41,Food - Breakfast
42,Electronics
43,Food - Frozen Foods
44,Food - Pasta
45,Food - Cereals
46,Kitchen
47,Food - Produce
48,Health
49,Toys
50,Food - Snacks
51,Clothing - Bottoms
52,Home
53,Clothing - Pants
54,Food - Condiments
55,Home
56,Food - Condiments
57,Kitchen
58,Home
59,Toys
60,Toys
61,Outdoor
62,Books
63,Food - Canned Goods
64,Food - Cereals
65,Home
66,Food - Frozen Foods
67,Garden
68,Food - Breakfast
69,Toys
70,Food - Sauces
71,Food - Condiments
72,Fitness
73,Fitness
74,Fitness
75,Art Supplies
76,Food - Condiments
77,Outdoor
78,Kitchen
79,Clothing - Accessories
80,Food - Condiments
81,Garden
82,Home
83,Food - Snacks
84,Food - Canned Goods
85,Food - Snacks
86,Accessories
87,Food - Condiments
88,Audio
89,Fitness
90,Smart Home
91,Outdoor
92,Home
93,Food - Meats
94,Clothing - Activewear
95,Food - Beverages
96,Fitness
97,Home
98,Food - Spices
99,Clothing
100,Home
101,Food - Condiments
102,Food - Seasonings
103,Toys
104,Baby
105,Kitchen
106,Music
107,Clothing - Swimwear
108,Fitness
109,Food - Meat
110,Food - Condiments
111,Food - Snacks
112,Office
113,Food - Sauces
114,Home
115,Pets
116,Garden
117,Food - Frozen Desserts
118,Office
119,Food - Produce
120,Food - Snacks
121,Kitchen
122,Food - Condiments
123,Food - Fresh Produce
124,Food - Canned Goods
125,Food - Spices
126,Kitchen
127,Food - Dressings
128,Food - Beverages
129,Food - Dressings
130,Food - Breakfast Foods
131,Kitchen
132,Food - Frozen Meals
133,Food - Vegetables
134,Outdoor
135,Clothing - Accessories
136,Outdoor
137,Beauty
138,Food - Condiments
139,Food - Condiments
140,Toys
141,Food - Condiments
142,Food - Dairy
143,Outdoor
144,Food - Dips
145,Food - Meat
146,Food - Snacks
147,Smart Home
148,Food - Dairy
149,Outdoor
150,Food - Beverages
151,Food - Grains
152,Automotive
153,Accessories
154,Kitchen
155,Food - Bakery
156,Outdoor
157,Food - Condiments
158,Food - Condiments
159,Food - Beverages
160,Food - Prepared Foods
161,Clothing - Tops
162,Kitchen
163,Food - Cooking Oil
164,Food - Grains
165,Safety
166,Health
167,Food - Prepared Foods
168,Food - Snacks
169,Toys
170,Fitness
171,Clothing - Tops
172,Food - Baking
173,Toys
174,Smart Home
175,Fitness
176,Footwear
177,Food - Frozen Foods
178,Kitchen
179,Bicycles
180,Kitchen
181,Food - Frozen Foods
182,Kitchen
183,Home
184,Accessories
185,Footwear
186,Electronics
187,Office
188,Food - Snacks
189,Office
190,Food - Produce
191,Food - Vegetarian
192,Kitchen
193,Food - Condiments
194,Food - Meat
195,Outdoor
196,Clothing - Activewear
197,Kitchen
198,Food - Deli
199,Food - Seafood
200,Food - Produce
